best_id_articulo,best_codigo,best_articulo,best_marca,best_modelo,best_colores,best_talle,best_pack,status,confianza,score,razon,admin_IDArt,admin_id_manual,admin_NombreArticulo,admin_CodArtProv,admin_tipo_art_fab,candidatos_n,alt1_IDArt,alt1_nombre,alt1_score,alt2_IDArt,alt2_nombre,alt2_score
KP610BLBLBL6,KP610,Kamp 610 Tripack Bl/Bl/Bl 6,Kamp ,610,BL/BL/BL,6,3,AMBIGUO,revisar,63,B_model+talle_diff+color_overlap_1+color0+pack+marca+jaccard_0.44,340,610,610 T4 Kamp Tripack  Bl/Gm/Ne 3P,,Terminado,6,343,610 T5 Kamp Tripack Bl/Gm/Ne 3P,63,341,610 T4 Kamp Tripack Blanco 3P,62
KP610BLGMNE6,KP610,Kamp 610 Tripack Bl/Gm/Ne 6,Kamp ,610,BL/GM/NE,6,3,AMBIGUO,revisar,88,B_model+talle_diff+color_overlap_3+color0+pack+marca+jaccard_0.67,340,610,610 T4 Kamp Tripack  Bl/Gm/Ne 3P,,Terminado,6,343,610 T5 Kamp Tripack Bl/Gm/Ne 3P,88,341,610 T4 Kamp Tripack Blanco 3P,61
KP610NENENE6,KP610,Kamp 610 Tripack Ne/Ne/Ne 6,Kamp ,610,NE/NE/NE,6,3,AMBIGUO,revisar,63,B_model+talle_diff+color_overlap_1+color0+pack+marca+jaccard_0.44,340,610,610 T4 Kamp Tripack  Bl/Gm/Ne 3P,,Terminado,6,343,610 T5 Kamp Tripack Bl/Gm/Ne 3P,63,342,610 T4 Kamp Tripack Negro 3P,62
LE7863BLBLBL5,A1 37863-M003,Levis 7863-M003 Low Cut Wordmark Logo 3P Bl/Bl/Bl 5,Levis,37863,BL/BL/BL,5,3,AMBIGUO,revisar,100,B_model+talle+color_overlap_1+color0+pack+marca+jaccard_0.54,596,37863,37863-M003 T5 Levis Low Cut Wordmark Logo Blanco 3P,37863-M003 T40/43,Terminado,5,597,37863-M004 T5 Levis Low Cut Wordmark Logo Gt/M4/Bl 3P,99,598,37863-M001 T5 Levis Low Cut Wordmark Logo Negro 3P,83
PU1015BLBLBL4,n99-906978/07,Puma 6978-07 Quarter 3P Bl/Bl/Bl 4,Puma,906978,BL/BL/BL,4,3,AMBIGUO,revisar,96,B_model+talle+color_overlap_1+color0+pack+marca,11,906978,906978-07 T4 Puma Unisex Quarter Plain Blanco 3P,906978-07 T110,Terminado,11,9,906978-13 T4 Puma Unisex Quarter Plain Bl/Gm/Mn 3P,95,10,906978-21 T4 Puma Unisex Quarter Plain Bl/Ne/Gm 3P,95
PU1015NENENE4,o0-906978/03,Puma 6978-03 Quarter 3P Ne/Ne/Ne 4,Puma,906978,NE/NE/NE,4,3,AMBIGUO,revisar,96,B_model+talle+color_overlap_1+color0+pack+marca,12,906978,906978-03 T4 Puma Unisex Quarter Plain Negro 3P,906978-03 T110,Terminado,11,10,906978-21 T4 Puma Unisex Quarter Plain Bl/Ne/Gm 3P,95,9,906978-13 T4 Puma Unisex Quarter Plain Bl/Gm/Mn 3P,79
PU1025BLBLBL4,o5-906807/03,Puma 6807-03 Inv. Sneaker 3P Bl/Bl/Bl 4,Puma,906807,BL/BL/BL,4,3,AMBIGUO,revisar,95,B_model+talle+color_overlap_1+color0+pack+marca,22,906807,906807-15 T4 Puma Invisible Sneaker Bl/Ne/Gm 3P,906807-15 T110,Terminado,13,28,906807-20 T4 Puma Invisible Sneaker Rs/Bl/Gm 3P,95,30,906807-79 T4 Puma Invisible Sneaker Blanco Logo Tu/Ve/Vi 3P,93
PU1025GTGMM44,p9-906807-14,Puma 6807-14 Puma Inv. Sneaker 3P Gt/Gm/M4 4,Puma,906807,GM/M4,4,3,AMBIGUO,revisar,110,B_model+talle+color_overlap_2+color0+pack+marca+jaccard_0.54,25,906807,906807-14 T4 Puma Invisible Sneaker Gt/Gm/M4 3P,906807-14 T110,Terminado,13,24,906807-12 T4 Puma Invisible Sneaker Fu/Gm/M4 3P,106,22,906807-15 T4 Puma Invisible Sneaker Bl/Ne/Gm 3P,95
PU1025NENENE4,o6-906807/01,Puma 6807-01 Inv. Sneaker 3P Ne/Ne/Ne 4,Puma,906807,NE/NE/NE,4,3,AMBIGUO,revisar,96,B_model+talle+color_overlap_1+color0+pack+marca,27,906807,906807-01 T4 Puma Invisible Sneaker Negro 3P,906807-01 T110,Terminado,13,22,906807-15 T4 Puma Invisible Sneaker Bl/Ne/Gm 3P,95,24,906807-12 T4 Puma Invisible Sneaker Fu/Gm/M4 3P,79
PU504BLBLBL5,p1-906807/03,PUMA 6807-03 Inv. Sneakers 3P Bl/Bl/Bl 5,Puma,906807,BL/BL/BL,5,3,AMBIGUO,revisar,94,B_model+talle+color_overlap_1+color0+pack+marca,23,906807,906807-03 T5 Puma Invisible Sneaker Blanco 3P,906807-03 T110,Terminado,13,35,906807-15 T5 Puma Invisible Sneaker Bl/Ne/Gm 3P,94,36,906807-03 T5 Puma Invisible Sneaker Blanco 3P,94
PU504NENENE5,p1-906807/01,PUMA 6807-01 Inv. Sneakers 3P Ne/Ne/Ne 5,Puma,906807,NE/NE/NE,5,3,AMBIGUO,revisar,94,B_model+talle+color_overlap_1+color0+pack+marca,35,906807,906807-15 T5 Puma Invisible Sneaker Bl/Ne/Gm 3P,906807-15 T120,Terminado,13,38,906807-01 T5 Puma Invisible Sneaker Negro 3P,94,23,906807-03 T5 Puma Invisible Sneaker Blanco 3P,77
PU5478CEBL1,a1-935478-01,Puma 5478-01 Baby Mini Cats Ce/Bl 1,Puma,935478,BL,1,2,AMBIGUO,revisar,100,B_model+talle+color_overlap_1+color0+pack+marca+jaccard_0.54,289,935478,935478-01 T1 Puma Baby Mini Cats Lifestyle Ce/Bl 2P,935478-01 T100,Terminado,3,290,935478-02 T1 Puma Baby Mini Cats Lifestyle Rs/Bl 2P,96,1370,935478-00 T1 Puma Baby Mini Cats Lifestyle Su/Su 2P 2da,80
PU681BLBLBL5,o1-906978/07,PUMA 6978-07 Quarter 3P  Bl/Bl/Bl 5,Puma,906978,BL/BL/BL,5,3,AMBIGUO,revisar,96,B_model+talle+color_overlap_1+color0+pack+marca,15,906978,906978-07 T5 Puma Unisex Quarter Plain Blanco 3P,906978-07 T120,Terminado,11,14,906978-21 T5 Puma Unisex Quarter Plain Bl/Ne/Gm 3P,95,18,906978-08 T5 Puma Unisex Quarter Plain Rs/Bl/Gm 3P,95
PU681NENENE5,o2-906978/03,PUMA 6978-03 Quarter 3P  Ne/Ne/Ne 5,Puma,906978,NE/NE/NE,5,3,AMBIGUO,revisar,96,B_model+talle+color_overlap_1+color0+pack+marca,17,906978,906978-03 T5 Puma Unisex Quarter Plain Negro 3P,906978-03 T120,Terminado,11,14,906978-21 T5 Puma Unisex Quarter Plain Bl/Ne/Gm 3P,95,15,906978-07 T5 Puma Unisex Quarter Plain Blanco 3P,79
PU7374BLBLBL3,v4-907374/05,Puma 7374-05 Kids Invisible Bl/Bl/Bl 3,Puma,907374,BL/BL/BL,3,3,AMBIGUO,revisar,95,B_model+talle+color_overlap_1+color0+pack+marca,501,907374,907374-05 T3 Puma Kids Invisibles Blanco 3P,907374-05 T120,Terminado,6,505,907374-26 T3 Puma Kids Invisibles Rs/Bl/Gm 3P,94,504,907374-02 T3 Puma Kids Invisibles Negro 3P,78
PU7375NENENE3,PU7375,Puma 7375-02 Kids Quarter 3P Ne/Ne/Ne 3,Puma,7375,NE/NE/NE,3,3,AMBIGUO,revisar,96,B_model+talle+color_overlap_1+color0+pack+marca,947,,7375 T3 Puma Kids Quarter Blanco Logo Negro 1Par,,Fabricado,7,948,7375 T3 Puma Kids Quarter Negro Logo Blanco 1Par,96,944,7375 T3 Puma Kids Quarter Azulino Logo Marino 1Par,81
PU7940BLBLBL5,r15-907940-02,Puma 7940-02 Crew Sock Light Bl/Bl/Bl 5,Puma,907940,BL/BL/BL,5,3,AMBIGUO,revisar,99,B_model+talle+color_overlap_1+color0+pack+marca+jaccard_0.45,604,907940,907940-02 Puma Crew Sock Light Blanco 3P,907940-02 T120,Terminado,4,603,907940-03 Puma Crew Sock Light Bl/Gm/Ne 3P,97,605,907940-04 Puma Crew Sock Light Mn/Ao/Mn 3P,81
PU7940NENENE5,r15-907940-01,Puma 7940-01 Crew Sock Light Ne/Ne/Ne 5,Puma,907940,NE/NE/NE,5,3,AMBIGUO,revisar,99,B_model+talle+color_overlap_1+color0+pack+marca+jaccard_0.45,606,907940,907940-01 Puma Crew Sock Light Negro 3P,907940-01 T120,Terminado,4,603,907940-03 Puma Crew Sock Light Bl/Gm/Ne 3P,97,604,907940-02 Puma Crew Sock Light Blanco 3P,81
PU7944BLBL5,e3-907944-02,Puma 7944-02 Crew Heritage 2P Bl/Bl 5,Puma,907944,BL/BL,5,2,AMBIGUO,revisar,98,B_model+talle+color_overlap_1+color0+pack+marca+jaccard_0.42,615,7944,907944-02 T5 Puma Crew Heritage Stripe Blanco 2P,,Terminado,4,616,907944-03 T5 Puma Crew Heritage Stripe Blanco Logo Mno 2P,95,618,907944-01 T5 Puma Crew Heritage Stripe Negro 2P,81
PU7964BLBL3,c2-907964-02,Puma 7964-02 CLYDE JUNIOR Q Bl/Bl 3,Puma,907964,BL/BL,3,2,AMBIGUO,revisar,61,B_model+talle_diff+color_overlap_1+color0+pack+marca,643,907964,907964-02 Puma Clyde Junior Quarter Blanco 2P,907964-02 T110,Terminado,5,644,907964-03 Puma Clyde Junior Quarter Mn/Bl 2P,61,646,907964-04 Puma Clyde Junior Quarter Rs/Bl 2P,61
PU8022BLBLBL6,y1-888022/01,Puma 8022-01 Sport XL Px3 Bl/Bl/Bl 6,Puma,888022,BL/BL/BL,6,3,AMBIGUO,revisar,94,B_model+talle+color_overlap_1+color0+pack+marca,660,888022,888022-01 T6 Puma Sport  XXL Blanco 3P,888022-01 T120,Terminado,2,661,888022-02 T6 Puma Sport  XXL Ne/Gm/Bl 3P,94,,,
PU8624BLBLBL5,PU8624,Puma 8624-28 Unisex Sneaker Plain 3P Bl/Bl/Bl 5,Puma,8624,BL/BL/BL,5,3,AMBIGUO,revisar,85,B_model+talle+color_overlap_1+color0,1258,1025,8624 T5 Unisex Sneaker Plain Verde Logo Blanco 1Par,,Fabricado,7,1259,8624 T5 Unisex Sneaker Plain Celeste Logo Blanco 1Par,85,1260,8624 T5 Unisex Sneaker Plain Negro Logo Blanco 1Par,85
PU8643LICR4,e7-938643-08,Puma 8643-08 Heritage Toe Sneaker 2P Li/Cr 4,Puma,938643,CR,4,2,AMBIGUO,revisar,103,B_model+talle+color_overlap_1+color0+pack+marca+jaccard_0.67,768,938643,938643-08 T4 Puma Heritage Toe Sneaker Li/Cr 2P,938643-08 T110,Terminado,3,769,938643-05 T4 Puma Heritage Toe Sneaker Rs/Cr 2P,98,1383,938643-00 T4 Puma Heritage Toe Sneaker Su/Su 2P 2da,81
PU8652LIBL3,c3-938652-03,Puma 8652-03 Kids Heart Logo Short Crew 2P Li/Bl 3,Puma,938652,BL,3,2,AMBIGUO,revisar,102,B_model+talle+color_overlap_1+color0+pack+marca+jaccard_0.64,772,938652,938652-03 T3 Puma Kids Heart Logo Crew Li/Bl 2P,938652-03 T100,Terminado,3,773,938652-04 T3 Puma Kids Heart Logo Crew Rs/Bl 2P,98,1373,938652-00 T3 Puma Kids Heart Logo Crew Su/Su 2P 2da,82
RE3000BLBLBL5,3000-1,Reef 3000 Logo Prog Crew Bl/Bl/Bl 5,Reef,3000,BL/BL/BL,5,3,AMBIGUO,revisar,97,B_model+talle+color_overlap_1+color0+pack+marca+jaccard_0.38,155,3000,3000-03 T5 Reef Logo Program Crew Bl/Ne/Gr 3P,3000-01 T39/43,Terminado,3,156,3000-01 T5 Reef Logo Program Crew Blanco 3P,96,157,3000-02 T5 Reef Logo Program Crew Negro 3P,81
RE3000NENENE5,3000-2,Reef 3000 Logo Prog Crew Ne/Ne/Ne 5,Reef,3000,NE/NE/NE,5,3,AMBIGUO,revisar,97,B_model+talle+color_overlap_1+color0+pack+marca+jaccard_0.38,155,3000,3000-03 T5 Reef Logo Program Crew Bl/Ne/Gr 3P,3000-01 T39/43,Terminado,3,157,3000-02 T5 Reef Logo Program Crew Negro 3P,96,156,3000-01 T5 Reef Logo Program Crew Blanco 3P,81
RE3080BLBLBL3,3080-1,Reef 3080 KIDS LOGO PROG CREW Bl/Bl/Bl 3,Reef,3080,BL/BL/BL,3,3,AMBIGUO,revisar,98,B_model+talle+color_overlap_1+color0+pack+marca+jaccard_0.43,1296,3080,3080-03 T3 Reef Kids Logo Program Crew Bl/Ne/Gr 3P,3080-03 T30/34,Terminado,3,158,3080-01 T3 Reef Kids Logo Program Crew Blanco 3P,97,1295,3080-02 T3 Reef Kids Logo Program Crew Negro 3P,82
RE3080NENENE3,3080-2,Reef 3080 KIDS LOGO PROG CREW Ne/Ne/Ne 3,Reef,3080,NE/NE/NE,3,3,AMBIGUO,revisar,98,B_model+talle+color_overlap_1+color0+pack+marca+jaccard_0.43,1296,3080,3080-03 T3 Reef Kids Logo Program Crew Bl/Ne/Gr 3P,3080-03 T30/34,Terminado,3,1295,3080-02 T3 Reef Kids Logo Program Crew Negro 3P,97,158,3080-01 T3 Reef Kids Logo Program Crew Blanco 3P,82
RE3300NENENE5,3300-3,Reef 3300 REEF MT SNEAKER Ne/Ne/Ne 5,Reef,3300,NE/NE/NE,5,3,AMBIGUO,revisar,99,B_model+talle+color_overlap_1+color0+pack+marca+jaccard_0.45,188,3300,3300-01 T5 Reef MT Sneaker Bl/Ne/Gr 3P,3300-01 T39/43,Terminado,3,190,3300-03 T5 Reef MT Sneaker Negro 3P,98,189,3300-02 T5 Reef MT Sneaker Blanco 3P,83
SEVA511BLNE5,VA511,Varios 511 SOX Px1 LISA Blanco/Negro 5,Varios,511,BL/NE,5,,AMBIGUO,revisar,58,B_model+color_overlap_1+color0,273,511,511 Medias Antideslizante 004 Blanco/Neg,,Terminado,8,277,511 Medias Antideslizante 005 Blanco/Neg,58,275,511 Medias Antideslizante 004 Negro/Gris,53
SEVA511MNBL4,VA511,Varios 511 SOX Px1 LISA Marino/Blanco 4,Varios,511,MN/BL,4,,AMBIGUO,revisar,58,B_model+color_overlap_1+color0,274,511,511 Medias Antideslizante 004 Marino/Bla,,Terminado,8,278,511 Medias Antideslizante 005 Marino/Bla,58,273,511 Medias Antideslizante 004 Blanco/Neg,53
SEVA511MNBL5,VA511,Varios 511 SOX Px1 LISA Marino/Blanco 5,Varios,511,MN/BL,5,,AMBIGUO,revisar,58,B_model+color_overlap_1+color0,274,511,511 Medias Antideslizante 004 Marino/Bla,,Terminado,8,278,511 Medias Antideslizante 005 Marino/Bla,58,273,511 Medias Antideslizante 004 Blanco/Neg,53
SEVA511NEGR5,VA511,Varios 511 SOX Px1 LISA Negro/Gris 5,Varios,511,NE/GR,5,,AMBIGUO,revisar,60,B_model+color_overlap_1+color0,275,511,511 Medias Antideslizante 004 Negro/Gris,,Terminado,8,279,511 Medias Antideslizante 005 Negro/Gris,60,276,511 Medias Antideslizante 004 Rojo/Negro,58
SEVA511RONE5,VA511,Varios 511 SOX Px1 LISA Rojo/Negro 5,Varios,511,RO/NE,5,,AMBIGUO,revisar,70,B_model+color_overlap_2+color0,276,511,511 Medias Antideslizante 004 Rojo/Negro,,Terminado,8,280,511 Medias Antideslizante 005 Rojo/Negro,70,275,511 Medias Antideslizante 004 Negro/Gris,53
VA510NENE5,VA510,Varios 510 SOX Bipacks LISA Ne/Ne 5,Varios,510,NE/NE,5,2,AMBIGUO,revisar,87,B_model+talle+color_overlap_1+color0+pack,269,510,510-01 T5 BS Medias Antideslizante Bl/Ne 2P,510-01 T40/43,Terminado,9,272,510-02 T5 BS Medias Antideslizante Negro 2P,86,270,510-03 T5 BS Medias Antideslizante Blanco 2P,71
VA510RORO5,VA510,Varios 510 SOX Bipacks LISA Ro/Ro 5,Varios,510,RO/RO,5,2,AMBIGUO,revisar,71,B_model+talle+pack,269,510,510-01 T5 BS Medias Antideslizante Bl/Ne 2P,510-01 T40/43,Terminado,9,270,510-03 T5 BS Medias Antideslizante Blanco 2P,71,271,510-05 T5 BS Medias Antideslizante Marino 2P,71
LE7864AEBL5,LE7864,Levis 7864-M005 Reg Cut Sport Stripe 2P Ae/Bl 5,Levis,7864,AE/BL,5,2,CONFLICTO_1_A_N,revisar,87,B_model+talle+color_overlap_1+marca+jaccard_0.38+conflicto_IDArt,1119,,7864 T5 Levis Reg Cut Sport Stripe Blanco Logo Rojo 1Par,,Fabricado,4,1118,7864 T5 Levis Reg Cut Wordmark Logo Marino Logo Aero 1Par,74,1120,7864 T5 Levis Reg Cut Wordmark Logo Negro Logo Gris 1Par,74
LE7864BLNE5,LE7864,Levis 7864-M001 Reg Cut Sport Stripe 2P Bl/Ne 5,Levis,7864,BL/NE,5,2,CONFLICTO_1_A_N,revisar,92,B_model+talle+color_overlap_1+color0+marca+jaccard_0.38+conflicto_IDArt,1119,,7864 T5 Levis Reg Cut Sport Stripe Blanco Logo Rojo 1Par,,Fabricado,4,1120,7864 T5 Levis Reg Cut Wordmark Logo Negro Logo Gris 1Par,84,1118,7864 T5 Levis Reg Cut Wordmark Logo Marino Logo Aero 1Par,74
PU1025BLBLFU4,p11-1025-880966/05,Puma 0966-05 Inv. Sneaker 3P Bl/Bl/Fu 4,Puma,1025,BL/BL/FU,4,3,CONFLICTO_1_A_N,revisar,81,B_model+talle+color_overlap_1+color0+conflicto_IDArt,1053,1025,8624 T4 Unisex Sneaker Plain Blanco Logo Verde 1Par,,Fabricado,7,1258,8624 T5 Unisex Sneaker Plain Verde Logo Blanco 1Par,46,1259,8624 T5 Unisex Sneaker Plain Celeste Logo Blanco 1Par,46
PU1025BLM4NE4,p12-1025-880966/07,Puma 0966-07 Inv. Sneaker 3P Bl/M4/Ne 4,Puma,1025,BL/M4/NE,4,3,CONFLICTO_1_A_N,revisar,81,B_model+talle+color_overlap_1+color0+conflicto_IDArt,1053,1025,8624 T4 Unisex Sneaker Plain Blanco Logo Verde 1Par,,Fabricado,7,1260,8624 T5 Unisex Sneaker Plain Negro Logo Blanco 1Par,56,1258,8624 T5 Unisex Sneaker Plain Verde Logo Blanco 1Par,46
PU1315AZCE3,b4-1315-892570/01,Puma 3340-16 Kids inv. Sneakers 2P Az/Ce 3,Puma,1315,AZ,3,2,CONFLICTO_1_A_N,revisar,80,B_model+talle+pack+marca+conflicto_IDArt,42,1315,892570-04 T3 Puma Kids invisible Sneakers Negro 2P,,Terminado,1,,,,,,
PU1315NENE3,b3-1315-892570/04,PUMA 2570-04 Kids inv. Sneakers 2P Ne/Ne 3,Puma,1315,NE/NE,3,2,CONFLICTO_1_A_N,revisar,97,B_model+talle+color_overlap_1+color0+pack+marca+jaccard_0.38+conflicto_IDArt,42,1315,892570-04 T3 Puma Kids invisible Sneakers Negro 2P,,Terminado,1,,,,,,
PU1315RSCH3,b2-1315-892570/03,PUMA 3340-43 Kids inv. Sneakers 2P Rs/Ch 3,Puma,1315,RS,3,2,CONFLICTO_1_A_N,revisar,80,B_model+talle+pack+marca+conflicto_IDArt,42,1315,892570-04 T3 Puma Kids invisible Sneakers Negro 2P,,Terminado,1,,,,,,
PU8624BLBLBL4,PU8624,Puma 8624-28 Unisex Sneaker Plain 3P Bl/Bl/Bl 4,Puma,8624,BL/BL/BL,4,3,CONFLICTO_1_A_N,revisar,85,B_model+talle+color_overlap_1+color0+conflicto_IDArt,1053,1025,8624 T4 Unisex Sneaker Plain Blanco Logo Verde 1Par,,Fabricado,7,1258,8624 T5 Unisex Sneaker Plain Verde Logo Blanco 1Par,50,1259,8624 T5 Unisex Sneaker Plain Celeste Logo Blanco 1Par,50
SEKP609BL5,KP609,Kamp 609 Kamp Pantorrilleras Blanco 5,Kamp ,609,BL,5,,CONFLICTO_1_A_N,revisar,96,B_model+talle+color_overlap_1+color0+marca+jaccard_0.57+conflicto_IDArt,333,609,609 T5 Kamp Pantorrilleras Blanco 1P,,Terminado,1,,,,,,
SEKP609MN5,KP609,Kamp 609 Kamp Pantorrilleras Marino 5,Kamp ,609,MN,5,,CONFLICTO_1_A_N,revisar,77,B_model+talle+marca+jaccard_0.38+conflicto_IDArt,333,609,609 T5 Kamp Pantorrilleras Blanco 1P,,Terminado,1,,,,,,
SEKP609NE5,KP609,Kamp 609 Kamp Pantorrilleras Negro 5,Kamp ,609,NE,5,,CONFLICTO_1_A_N,revisar,77,B_model+talle+marca+jaccard_0.38+conflicto_IDArt,333,609,609 T5 Kamp Pantorrilleras Blanco 1P,,Terminado,1,,,,,,
SEVA508BLNE5,VA508,Varios 508 Futbol BS Blanco/Negro 5,Varios,508,BL/NE,5,,CONFLICTO_1_A_N,revisar,70,B_model+talle+conflicto_IDArt,250,508,508-05 T5 BS Medias Futbol Rojo 1Par,508-05 T40/43,Fabricado,1,,,,,,
SEVA508NEBL5,VA508,Varios 508 Futbol BS Negro/Blanco 5,Varios,508,NE/BL,5,,CONFLICTO_1_A_N,revisar,70,B_model+talle+conflicto_IDArt,250,508,508-05 T5 BS Medias Futbol Rojo 1Par,508-05 T40/43,Fabricado,1,,,,,,
AT2400BLBL4,AT2400,Atomik 2400 Medias Stripe x2 Bl/Bl 4,Atomik,2400,BL/BL,4,2,MATCH_ALTO,alta,95,B_model+talle+color_overlap_1+color0+pack+marca,1343,2400,2400 TL Atomik Media Stripe Blanco 2P,,Terminado,11,1351,2400 T4  Atomik Media Stripe Blanco Logo Negro 1Par,89,1353,2400 T4  Atomik Media Stripe Negro Logo Blanco 1Par,89
AT2400BLBL5,AT2400,Atomik 2400 Medias Stripe x2 Bl/Bl 5,Atomik,2400,BL/BL,5,2,MATCH_ALTO,alta,95,B_model+talle+color_overlap_1+color0+pack+marca,1344,2400,2400 TM Atomik Media Stripe Blanco 2P,,Terminado,11,1349,2400 T5  Atomik Media Stripe Blanco Logo Negro 1Par,89,1350,2400 T5  Atomik Media Stripe Negro Logo Blanco 1Par,89
AT2400NENE4,AT2400,Atomik 2400 Medias Stripe x2 Ne/Ne 4,Atomik,2400,NE/NE,4,2,MATCH_ALTO,alta,95,B_model+talle+color_overlap_1+color0+pack+marca,1345,2400,2400 TL Atomik Media Stripe Negro 2P,,Terminado,11,1351,2400 T4  Atomik Media Stripe Blanco Logo Negro 1Par,89,1353,2400 T4  Atomik Media Stripe Negro Logo Blanco 1Par,89
AT2401BLBL4,AT2401,Atomik 2401(Atk-Caña)Media Liso x2 Bl/Bl 4,Atomik,2401,BL/BL,4,2,MATCH_ALTO,alta,96,B_model+talle+color_overlap_1+color0+pack+marca,128,2401,2401 TL Atomik Media Liso Blanco 2P,,Terminado,8,1137,2401 T4 Atomik Media Liso Blanco Logo Negro 1Par,90,1138,2401 T4 Atomik Media Liso Negro Logo Blanco 1Par,90
AT2401BLBL5,AT2401,Atomik 2401(Atk-Caña)Media Liso x2 Bl/Bl 5,Atomik,2401,BL/BL,5,2,MATCH_ALTO,alta,96,B_model+talle+color_overlap_1+color0+pack+marca,126,2401,2401 TM Atomik Media Liso Blanco 2P,,Terminado,8,1139,2401 T5 Atomik Media Liso Blanco Logo Negro 1Par,90,1140,2401 T5 Atomik Media Liso Negro Logo Blanco 1Par,90
